Seq_name	Read1	Read2	Instrument_run	ID_sample	Bldg_loc_ID	Bldg_ID	Temp_degC	pH	Hardness	CFU_L	Country	City	Season_year	Time_point	Building_type	Location_in_building
4297	4297.V3V4_1.fastq.gz	4297.V3V4_2.fastq.gz	M01607_357	HCH-MW	C_B1_MW	C_B1	11.9	8.1	19.91	0	Denmark	Copenhagen	Spring2018	2018-04	Health_care_facility	MW
4298	4298.V3V4_1.fastq.gz	4298.V3V4_2.fastq.gz	M01607_357	HCH-AHE	C_B1_AHE	C_B1	58.4	7.9	23.71	0	Denmark	Copenhagen	Spring2018	2018-04	Health_care_facility	AHE
4299	4299.V3V4_1.fastq.gz	4299.V3V4_2.fastq.gz	M01607_357	HCH-HRW	C_B1_HRW	C_B1	55	8.2	18.59	0	Denmark	Copenhagen	Spring2018	2018-04	Health_care_facility	HRW
4300	4300.V3V4_1.fastq.gz	4300.V3V4_2.fastq.gz	M01607_357	HCH_FAHE	C_B1_FPB	C_B1	58.1	7.8	19.45	0	Denmark	Copenhagen	Spring2018	2018-04	Health_care_facility	FPB
4305	4305.V3V4_1.fastq.gz	4305.V3V4_2.fastq.gz	M01607_357	H1-MW	C_B2_MW	C_B2	9.9	8.2	23.29	0	Denmark	Copenhagen	Spring2018	2018-04	Hotel	MW
4306	4306.V3V4_1.fastq.gz	4306.V3V4_2.fastq.gz	M01607_357	H1-AHE	C_B2_AHE	C_B2	56.4	8.2	23.29	0	Denmark	Copenhagen	Spring2018	2018-04	Hotel	AHE
4307	4307.V3V4_1.fastq.gz	4307.V3V4_2.fastq.gz	M01607_357	H1-HRW	C_B2_HRW	C_B2	51.3	8.1	21.19	0	Denmark	Copenhagen	Spring2018	2018-04	Hotel	HRW
4308	4308.V3V4_1.fastq.gz	4308.V3V4_2.fastq.gz	M01607_357	H1-FAHE	C_B2_FAHE	C_B2	52.3	8.05	21.71	0	Denmark	Copenhagen	Spring2018	2018-04	Hotel	FPB
4301	4301.V3V4_1.fastq.gz	4301.V3V4_2.fastq.gz	M01607_357	H2-MW	C_B3_MW	C_B3	11.9	7.95	27.37	0	Denmark	Copenhagen	Spring2018	2018-04	Hotel	MW
4302	4302.V3V4_1.fastq.gz	4302.V3V4_2.fastq.gz	M01607_357	H2-AHE	C_B3_AHE	C_B3	52.5	8.15	27.72	0	Denmark	Copenhagen	Spring2018	2018-04	Hotel	AHE
4303	4303.V3V4_1.fastq.gz	4303.V3V4_2.fastq.gz	M01607_357	H2-HRW	C_B3_HRW	C_B3	50	8.1	30.16	0	Denmark	Copenhagen	Spring2018	2018-04	Hotel	HRW
4304	4304.V3V4_1.fastq.gz	4304.V3V4_2.fastq.gz	M01607_357	H2_FAHE	C_B3_FAHE	C_B3	49.2	7.9	24.06	0	Denmark	Copenhagen	Spring2018	2018-04	Hotel	FPB
12	12_V3V4_FWD.fastq.gz	12_V3V4_REV.fastq.gz	DE18INS60512_124	PB-MW	A_B1_MW	A_B1	21.3	7.9	136	13	Greece	Athens	Winter2017	2017-01	Public_building	MW
11	11_V3V4_FWD.fastq.gz	11_V3V4_REV.fastq.gz	DE18INS60512_124	PB-Bb	A_B1_BB	A_B1	53.2	NA	NA	0	Greece	Athens	Winter2017	2017-01	Public_building	BB
13	13_V3V4_FWD.fastq.gz	13_V3V4_REV.fastq.gz	DE18INS60512_124	PB-HRW	A_B1_HRW	A_B1	35.5	NA	NA	5	Greece	Athens	Winter2017	2017-01	Public_building	HRW
14	14_V3V4_FWD.fastq.gz	14_V3V4_REV.fastq.gz	DE18INS60512_124	PB_FPB	A_B1_FPB	A_B1	32.9	7.9	136	500	Greece	Athens	Winter2017	2017-01	Public_building	FPB
15	15_V3V4_FWD.fastq.gz	15_V3V4_REV.fastq.gz	DE18INS60512_124	H-MW	A_B2_MW	A_B2	14.6	7.8	142	0	Greece	Athens	Winter2017	2017-01	Hotel	MW
16	16_V3V4_FWD.fastq.gz	16_V3V4_REV.fastq.gz	DE18INS60512_124	H-Bb	A_B2_BB	A_B2	34.6	NA	NA	6.5	Greece	Athens	Winter2017	2017-01	Hotel	BB
18	18_V3V4_FWD.fastq.gz	18_V3V4_REV.fastq.gz	DE18INS60512_124	H-FPB	A_B2_FPB	A_B2	21.8	7.6	142	0	Greece	Athens	Winter2017	2017-01	Hotel	FPB
19	19_V3V4_FWD.fastq.gz	19_V3V4_REV.fastq.gz	DE18INS60512_124	HO-MW	A_B3_MW	A_B3	11.7	7.7	142	0	Greece	Athens	Winter2017	2017-01	Hospital	MW
20	20_V3V4_FWD.fastq.gz	20_V3V4_REV.fastq.gz	DE18INS60512_124	HO-Bb	A_B3_BB	A_B3	35.1	NA	NA	25	Greece	Athens	Winter2017	2017-01	Hospital	BB
